username,followers,engagement_rate,avg_likes,avg_comments
@real_user_64,5404,13.230940044411547,647,68
@fake_user_21,1105409,0.13388709518377362,1479,1
@fake_user_12,533816,0.4960510737782307,2636,12
@real_user_29,23589,11.407859595574209,2350,341
@fake_user_7,769708,0.26594500771721225,2038,9
@fake_user_8,959297,0.010111571286056352,97,0
@fake_user_25,576840,0.12793842313293113,732,6
@fake_user_26,233541,0.4457461430755199,1032,9
@real_user_51,134076,12.388496076851935,15736,874
@fake_user_22,1392964,0.06417969165032263,886,8
@real_user_81,471255,10.791185239413906,44541,6313
@fake_user_13,601946,0.3958826871513391,2379,4
@fake_user_2,137641,0.2833458053922886,388,2
@real_user_40,12253,2.91357218640333,311,46
@real_user_60,24129,13.100418583447304,2823,338
@real_user_95,140474,7.449777182966242,9419,1046
@fake_user_18,507906,0.3175784495556265,1601,12
@fake_user_28,1116412,0.013077609341354266,146,0
@fake_user_14,811998,0.4571439831132589,3676,36
@fake_user_15,1498974,0.3094116375600911,4613,25
@fake_user_16,576072,0.41800330514241274,2389,19
@real_user_100,6990,5.608011444921316,353,39
@real_user_63,185230,9.371592074717919,16433,926
@fake_user_6,590457,0.04200136504436394,248,0
@real_user_61,40547,12.003354132241597,4251,616
@fake_user_4,1471741,0.4254145260613111,6237,24
@real_user_57,496764,10.60805533412244,45852,6845
@fake_user_24,599616,0.26767130963816843,1591,14
@fake_user_9,1393741,0.03580292177671461,499,0
@fake_user_29,228232,0.19453889025202425,444,0
