username,followers,following,posts,avg_likes,avg_comments,category,label
@real_user_73,47928,68328,156,1302,154,Gaming,Real
@real_user_18,100859,82987,343,4243,535,Beauty,Real
@real_user_118,475494,427335,573,45538,5440,Tech,Real
@real_user_78,47563,72630,418,2869,354,Travel,Real
@real_user_76,23030,12222,680,1938,173,Fitness,Real
@real_user_31,153746,221444,435,12724,814,Food,Real
@real_user_64,5404,10763,726,647,68,Food,Real
@fake_user_21,1105409,350,14,1479,1,Beauty,Unknown
@real_user_68,115215,145452,496,5734,511,Food,Real
@real_user_82,23935,51337,694,1880,183,Lifestyle,Real
@real_user_110,198843,245664,164,13581,1765,Fashion,Real
@real_user_12,411428,976844,748,28570,2008,Tech,Real
@real_user_36,137235,335796,685,9157,1122,Food,Real
@real_user_9,334633,431272,82,28126,3797,Beauty,Real
@real_user_19,289045,409876,513,27602,1796,Fitness,Real
@real_user_56,44298,35080,183,2024,277,Food,Real
@real_user_104,16485,37492,211,472,36,Travel,Real
@real_user_69,144456,90077,233,11539,1672,Fashion,Real
@real_user_55,20485,40720,410,1104,137,Gaming,Real
@fake_user_12,533816,916,97,2636,12,Travel,Unknown
@real_user_29,23589,24241,351,2350,341,Fitness,Real
@fake_user_7,769708,207,75,2038,9,Gaming,Unknown
@real_user_26,258871,367439,519,18564,1935,Gaming,Real
@fake_user_8,959297,373,41,97,0,Beauty,Unknown
@fake_user_11,504032,769,77,323,1,Food,Unknown
@fake_user_25,576840,455,72,732,6,Tech,Unknown
@real_user_108,194931,169732,435,20082,1690,Tech,Real
@fake_user_23,606079,965,49,2509,10,Tech,Unknown
@real_user_45,32472,29876,245,2301,302,Food,Real
@real_user_30,5699,3834,784,330,26,Lifestyle,Real
@real_user_22,80306,200103,303,7968,606,Travel,Real
@real_user_15,45294,37914,423,2867,220,Beauty,Real
@real_user_65,37201,66133,83,3735,272,Travel,Real
@real_user_11,290982,156362,624,17466,917,Beauty,Real
@real_user_42,28289,67230,307,1917,213,Fashion,Real
@fake_user_26,233541,860,40,1032,9,Gaming,Unknown
@real_user_51,134076,257624,782,15736,874,Tech,Real
@real_user_27,187965,236021,326,18381,2584,Lifestyle,Real
@real_user_4,452801,308539,130,35294,4705,Travel,Real
@real_user_32,409141,903202,574,19994,2619,Travel,Real
@fake_user_22,1392964,692,49,886,8,Fitness,Unknown
@real_user_85,190937,106300,599,4415,221,Gaming,Real
@real_user_86,92078,228357,637,7068,1012,Tech,Real
@real_user_16,35303,64670,436,801,59,Fashion,Real
@real_user_10,323684,369789,511,19822,2103,Tech,Real
@real_user_81,471255,146871,167,44541,6313,Fashion,Real
@fake_user_13,601946,809,48,2379,4,Beauty,Unknown
@fake_user_17,955699,518,59,2554,8,Food,Unknown
@real_user_75,490843,306789,56,33384,1877,Tech,Real
@real_user_109,42334,40125,549,2279,213,Food,Real
@real_user_96,44915,70419,427,4562,297,Fashion,Real
@real_user_105,155947,133889,492,13422,1411,Gaming,Real
@real_user_66,174454,379402,103,11921,1216,Travel,Real
@real_user_0,20795,27248,422,1378,82,Travel,Real
@fake_user_2,137641,490,23,388,2,Gaming,Unknown
@real_user_67,486429,954034,627,21707,1147,Tech,Real
@real_user_28,37352,74361,561,1434,153,Fashion,Real
@real_user_40,12253,8402,267,311,46,Food,Real
@real_user_44,37320,18950,84,801,41,Gaming,Real
@real_user_60,24129,35696,773,2823,338,Fitness,Real
@fake_user_3,764180,926,96,797,1,Fitness,Unknown
@real_user_24,193946,459321,202,14718,1283,Fitness,Real
@real_user_25,71357,133208,447,5703,413,Fitness,Real
@real_user_23,491999,1064023,453,15740,1889,Beauty,Real
@real_user_94,21478,17186,72,2189,184,Gaming,Real
@real_user_39,229375,354449,484,13739,752,Fitness,Real
@real_user_95,140474,47739,732,9419,1046,Travel,Real
@real_user_117,116017,140165,110,6303,536,Tech,Real
@real_user_47,314352,329996,239,15810,2018,Beauty,Real
@real_user_97,378954,269021,50,10108,672,Gaming,Real
@real_user_113,101226,140441,734,7160,811,Fashion,Real
@real_user_33,27009,60785,192,664,36,Travel,Real
@fake_user_18,507906,188,82,1601,12,Travel,Unknown
@real_user_101,9944,7018,376,734,75,Fashion,Real
@real_user_62,24255,59958,226,509,66,Tech,Real
@real_user_84,201917,224593,59,17723,1938,Fitness,Real
@fake_user_28,1116412,145,36,146,0,Fashion,Unknown
@real_user_53,143105,225944,414,4564,334,Fashion,Real
@real_user_5,69457,139281,211,3868,568,Food,Real
@real_user_93,402967,761186,179,29034,2117,Tech,Real
@real_user_111,7573,18672,491,263,35,Fitness,Real
@real_user_49,5698,13618,433,440,36,Travel,Real
@real_user_35,120313,107968,669,7050,936,Fitness,Real
@real_user_80,201605,417907,713,13569,797,Gaming,Real
@real_user_77,15267,34490,261,524,32,Fashion,Real
@real_user_34,192038,412047,619,7656,1134,Lifestyle,Real
@real_user_114,151332,106782,742,7660,1117,Travel,Real
@real_user_7,14268,29461,114,616,39,Fashion,Real
@real_user_43,199143,419277,317,11168,1464,Tech,Real
@real_user_70,26833,45441,160,2632,218,Fashion,Real
@real_user_98,42430,69083,624,2977,383,Travel,Real
@fake_user_0,893554,584,89,2886,22,Lifestyle,Unknown
@real_user_83,264323,490558,703,10403,1071,Beauty,Real
@fake_user_14,811998,810,61,3676,36,Travel,Unknown
@fake_user_15,1498974,429,66,4613,25,Food,Unknown
@real_user_89,418134,478579,665,22481,3146,Beauty,Real
@real_user_8,45774,84914,724,1318,173,Tech,Real
@real_user_13,93585,66487,380,7596,990,Beauty,Real
@real_user_119,445690,644851,61,48231,5742,Lifestyle,Real
@fake_user_5,621826,904,52,429,0,Beauty,Unknown
@real_user_3,6899,3057,437,170,11,Fashion,Real
@real_user_17,6636,7028,434,628,33,Tech,Real
@real_user_38,39699,27880,286,1969,116,Fitness,Real
@real_user_72,107108,140709,395,3056,189,Lifestyle,Real
@fake_user_16,576072,153,56,2389,19,Gaming,Unknown
@real_user_6,149299,172453,387,4357,359,Gaming,Real
@real_user_112,176678,332940,678,4313,430,Food,Real
@real_user_100,6990,2298,518,353,39,Fashion,Real
@real_user_2,356730,464945,736,10191,882,Lifestyle,Real
@real_user_63,185230,70574,560,16433,926,Fashion,Real
